,Forest
Amazona farinosa,21.22222222222222
Ammodramus aurifrons,0.0
Ara macao,2.5555555555555554
Ara severus,0.8888888888888888
Aramides cajaneus,0.1111111111111111
Cercomacroides tyrannina,0.0
Crypturellus cinereus,16.333333333333332
Crypturellus soui,227.11111111111111
Cyanocorax violaceus,0.7777777777777778
Glaucidium brasilianum,0.1111111111111111
Herpetotheres cachinnans,1.8888888888888888
Hydropsalis maculicaudus,0.0
Hypocnemis flavescens,25.22222222222222
Legatus leucophaius,0.2222222222222222
Lepidothrix coronata,112.55555555555556
Lipaugus vociferans,31.555555555555557
Megascops choliba,0.0
Megascops watsonii,4.333333333333333
Mionectes oleagineus,1.5555555555555556
Mustelirallus albicollis,0.0
Myiarchus ferox,0.0
Myiozetetes cayanensis,0.0
Myrmoborus myotherinus,9.11111111111111
Myrmophylax atrothorax,0.0
Nyctibius griseus,0.4444444444444444
Nyctidromus albicollis,0.0
Ortalis guttata,0.0
Pachyramphus polychopterus,0.0
Patagioenas subvinacea,1.4444444444444444
Percnostola rufifrons,12.333333333333334
Phaethornis atrimentalis,21.88888888888889
Phaethornis ruber,102.44444444444444
Pionus menstruus,0.0
Pitangus sulphuratus,0.0
Pteroglossus castanotis,0.0
Querula purpurata,1.1111111111111112
Ramphastos tucanus,48.44444444444444
Ramphastos vitellinus,10.777777777777779
Ramphocelus carbo,0.0
Ramphotrigon ruficauda,15.444444444444445
Saltator maximus,0.0
Synallaxis albescens,0.0
Thamnophilus murinus,11.222222222222221
Tinamus major,18.666666666666668
Trogon rufus,7.666666666666667
Trogon viridis,11.333333333333334
Tyrannus melancholicus,0.0
Volatinia jacarina,0.0
